INDIV_ID,ANNOT_ID,CAMID,DATETIME,IMAGE_ID,SEQUENCE_UUID,FILEPATH
3,47956,M11,2020-02-19 06:47:00,M11_26_02_26_STC_1055_100STLTH,0297bb04-8110-47a9-8d7a-ebca07630b0b,GGR_cams_1/M11/26_02_26/DCIM/100STLTH/STC_1055.JPG
3,47677,M3,2020-02-28 17:00:00,M3_20_03_12_STC_0268_100STLTH,b74b0d58-3236-4e7c-81a9-bbf90333e4c0,GGR_Cams 2_Main/M3/20_03_12/DCIM/100STLTH/STC_0268.JPG
3,47680,M3,2019-01-04 08:01:00,M3_20_04_09_STC_0035_100STLTH,59d28173-6a26-45a0-a854-8dd7112b6e51,GGR_Cams 2_Main/M3/20_04_09/DCIM/100STLTH/STC_0035.JPG
3,47841,M3,2019-02-06 18:07:00,M3_20_05_07_STC_0214_100STLTH,25818580-01cd-4fd6-9cb5-7ee4f39dafe5,GGR_Cams 3_Main/M3/20_05_07/DCIM/100STLTH/STC_0214.JPG
3,49313,R19,2020-02-06 18:11:00,R19_20_02_13_STC_1463_100STLTH,313a633e-98f8-4f30-ae25-a95e395ba398,GGR_cams_1/R19/20_02_13/DCIM/100STLTH/STC_1463.JPG
3,48413,R19,2020-03-17 06:39:00,R19_20_03_25_STC_0889_100STLTH,925dbdd6-8aa5-4b7d-a0f9-6e6104712ce3,GGR_Cams 2_Main/R19/20_03_25/DCIM/100STLTH/STC_0889.JPG
3,48414,R19,2020-03-17 13:35:00,R19_20_03_25_STC_0933_100STLTH,e9068e9d-caea-4a80-933a-cf48f6ee5dce,GGR_Cams 2_Main/R19/20_03_25/DCIM/100STLTH/STC_0933.JPG
3,48419,R19,2020-03-31 12:21:00,R19_20_04_09_STC_0985_100STLTH,dd1a770a-dbf0-44b7-8d6f-3047a518d77f,GGR_Cams 2_Main/R19/20_04_09/DCIM/100STLTH/STC_0985.JPG
3,48826,R19,2020-04-14 14:11:00,R19_20_04_22_STC_0286_100STLTH,ac8fe454-73f1-42cc-9af9-851fa1c98744,GGR_Cams 3_Main/R19/20_04_22/DCIM/100STLTH/STC_0286.JPG
3,48828,R19,2020-04-16 11:23:00,R19_20_04_22_STC_0643_100STLTH,ea64e4fc-0c74-461a-b599-0d02edb8557b,GGR_Cams 3_Main/R19/20_04_22/DCIM/100STLTH/STC_0643.JPG
3,47869,R19,2020-04-21 08:02:00,R19_20_04_22_STC_1036_100STLTH,3031a886-7563-4dde-a7f1-e3486b4309ff,GGR_Cams 3_Main/R19/20_04_22/DCIM/100STLTH/STC_1036.JPG
3,48829,R19,2020-04-21 09:22:00,R19_20_04_22_STC_1073_100STLTH,4f0f8356-c592-4440-b2b4-290ac6dbfce4,GGR_Cams 3_Main/R19/20_04_22/DCIM/100STLTH/STC_1073.JPG
3,47871,R19,2020-04-27 08:31:00,R19_20_05_07_STC_0440_100STLTH,38565767-f449-4b14-abb5-90d813bd43e3,GGR_Cams 3_Main/R19/20_05_07/DCIM/100STLTH/STC_0440.JPG
3,48830,R19,2020-05-03 11:52:00,R19_20_05_07_STC_2762_100STLTH,1c63622b-3663-41c2-816f-8d1539de2e93,GGR_Cams 3_Main/R19/20_05_07/DCIM/100STLTH/STC_2762.JPG
3,48831,R19,2020-05-03 12:00:00,R19_20_05_07_STC_2834_100STLTH,af32c0ec-983c-4694-9c8f-5baf28a0add5,GGR_Cams 3_Main/R19/20_05_07/DCIM/100STLTH/STC_2834.JPG
